GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Rev-PasswordManager,com.revature.passwordmanager.dto.response,PasswordHealthMetricsResponse.PasswordCategoryBreakdown.PasswordCategoryBreakdownBuilder,10,35,0,0,0,1,1,6,1,6
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ReusedPasswordResponse.ReusedEntryInfo.ReusedEntryInfoBuilder,10,35,0,0,0,1,1,6,1,6
Rev-PasswordManager,com.revature.passwordmanager.dto.response,VerifySetupResponse.VerifySetupResponseBuilder,0,37,0,0,0,1,0,6,0,6
Rev-PasswordManager,com.revature.passwordmanager.dto.response,EmergencyAccessRequestResponse.EmergencyAccessRequestResponseBuilder,0,130,0,0,0,1,0,16,0,16
Rev-PasswordManager,com.revature.passwordmanager.dto.response,VaultEntryResponse.VaultEntryResponseBuilder,0,128,0,0,0,1,0,16,0,16
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ExpiryStatusResponse.ExpiryStatusResponseBuilder,0,64,0,0,0,1,0,9,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,HealthResponse.ComponentHealth.ComponentHealthBuilder,27,0,0,0,1,0,5,0,5,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ReusedPasswordResponse.ReusedPasswordGroup.ReusedPasswordGroupBuilder,7,21,0,0,0,1,1,4,1,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,PasswordHintResponse,9,76,6,8,0,5,5,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,EmergencyVaultResponse.EmergencyVaultEntry,301,0,54,0,10,0,46,0,19,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,PasswordHealthMetricsResponse.PasswordCategoryBreakdown,141,31,20,0,2,6,19,6,9,6
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ExpiryStatusResponse.EntryExpiryDetail.EntryExpiryDetailBuilder,111,0,0,0,1,0,14,0,14,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,AIInsightResponse.AIInsightResponseBuilder,0,46,0,0,0,1,0,7,0,7
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TokenValidationResponse,5,67,3,7,0,5,3,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TimelineSummaryResponse.WeeklyActivityBucket.WeeklyActivityBucketBuilder,6,21,0,0,0,1,1,4,1,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecurityTrendResponse,61,137,23,9,0,8,14,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.dto.response,GeneratedMultiplePasswordsResponse,9,77,6,8,0,5,5,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,RegenerateCodesResponse,43,116,17,9,0,7,11,15,0,13
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SessionResponse.SessionResponseBuilder,0,84,0,0,0,1,0,11,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TimelineSummaryResponse.WeeklyActivityBucket,92,19,16,0,2,4,15,4,7,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,BreachHistoryResponse.ScanHistoryEntry.ScanHistoryEntryBuilder,64,0,0,0,1,0,9,0,9,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,PasswordAgeResponse.AgeDistributionBucket,132,31,20,0,2,6,19,6,9,6
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecurityAuditResponse.SecurityAuditResponseBuilder,0,94,0,0,0,1,0,12,0,12
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ViewPasswordResponse.ViewPasswordResponseBuilder,0,18,0,0,0,1,0,4,0,4
Rev-PasswordManager,com.revature.passwordmanager.dto.response,HeatmapResponse,99,186,37,11,0,10,22,21,0,19
Rev-PasswordManager,com.revature.passwordmanager.dto.response,LoginHistoryResponse,119,212,45,13,0,11,27,23,0,21
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ViewPasswordResponse,9,76,6,8,0,5,5,11,0,9
Rev-PasswordManager,com.revature.passwordmanager.dto.response,AIInsightResponse,50,135,19,9,0,8,12,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.dto.response,EmergencyContactResponse.EmergencyContactResponseBuilder,0,82,0,0,0,1,0,11,0,11
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ImportResult,37,126,13,7,0,8,8,17,0,15
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ChatResponse.MessageDto,172,0,30,0,7,0,28,0,13,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,ReusedPasswordResponse.ReusedEntryInfo,183,31,38,0,2,6,28,6,9,6
Rev-PasswordManager,com.revature.passwordmanager.dto.response,AIInsightResponse.Insight,197,0,32,0,8,0,31,0,15,0
Rev-PasswordManager,com.revature.passwordmanager.dto.response,SecurityAuditResponse,108,240,38,10,0,13,22,27,0,25
Rev-PasswordManager,com.revature.passwordmanager.dto.response,TrashCountResponse.TrashCountResponseBuilder,0,18,0,0,0,1,0,4,0,4
